datetime,total_number,day_type,ticket_type,service,ticket_group,Month_Year,Year-Month,Year,As Quarter,Fiscal Year
1/1/2023 16:00,1277,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-01,2023-01,2023,2023Q3,2023
2/1/2023 16:00,2097,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-02,2023-02,2023,2023Q3,2023
3/1/2023 16:00,1920,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-03,2023-03,2023,2023Q3,2023
4/1/2023 16:00,2184,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-04,2023-04,2023,2023Q4,2023
5/1/2023 16:00,2432,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-05,2023-05,2023,2023Q4,2023
6/1/2023 16:00,1866,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-06,2023-06,2023,2023Q4,2023
7/1/2023 16:00,1394,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-07,2023-07,2023,2024Q1,2024
8/1/2023 16:00,1781,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-08,2023-08,2023,2024Q1,2024
9/1/2023 16:00,1864,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-09,2023-09,2023,2024Q1,2024
10/1/2023 16:00,3106,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-10,2023-10,2023,2024Q2,2024
11/1/2023 16:00,2366,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-11,2023-11,2023,2024Q2,2024
12/1/2023 16:00,1576,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,2023-12,2023-12,2023,2024Q2,2024
12/1/2021 16:00,160,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2021-12,2021-12,2021,2022Q2,2022
1/1/2022 16:00,167,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-01,2022-01,2022,2022Q3,2022
2/1/2022 16:00,178,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-02,2022-02,2022,2022Q3,2022
3/1/2022 16:00,249,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-03,2022-03,2022,2022Q3,2022
4/1/2022 16:00,247,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-04,2022-04,2022,2022Q4,2022
5/1/2022 16:00,273,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-05,2022-05,2022,2022Q4,2022
6/1/2022 16:00,252,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-06,2022-06,2022,2022Q4,2022
7/1/2022 16:00,229,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-07,2022-07,2022,2023Q1,2023
8/1/2022 16:00,300,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-08,2022-08,2022,2023Q1,2023
9/1/2022 16:00,332,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-09,2022-09,2022,2023Q1,2023
10/1/2022 16:00,361,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-10,2022-10,2022,2023Q2,2023
11/1/2022 16:00,407,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-11,2022-11,2022,2023Q2,2023
12/1/2022 16:00,299,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2022-12,2022-12,2022,2023Q2,2023
1/1/2023 16:00,216,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-01,2023-01,2023,2023Q3,2023
2/1/2023 16:00,333,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-02,2023-02,2023,2023Q3,2023
3/1/2023 16:00,328,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-03,2023-03,2023,2023Q3,2023
4/1/2023 16:00,358,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-04,2023-04,2023,2023Q4,2023
5/1/2023 16:00,412,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-05,2023-05,2023,2023Q4,2023
6/1/2023 16:00,376,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-06,2023-06,2023,2023Q4,2023
7/1/2023 16:00,361,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-07,2023-07,2023,2024Q1,2024
8/1/2023 16:00,512,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-08,2023-08,2023,2024Q1,2024
9/1/2023 16:00,447,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-09,2023-09,2023,2024Q1,2024
10/1/2023 16:00,507,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-10,2023-10,2023,2024Q2,2024
11/1/2023 16:00,495,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-11,2023-11,2023,2024Q2,2024
12/1/2023 16:00,375,Weekday,Fareless,US 20 Commuter (AM),Anonymous Ticket,2023-12,2023-12,2023,2024Q2,2024
12/1/2021 16:00,182,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2021-12,2021-12,2021,2022Q2,2022
1/1/2022 16:00,213,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-01,2022-01,2022,2022Q3,2022
2/1/2022 16:00,308,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-02,2022-02,2022,2022Q3,2022
3/1/2022 16:00,358,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-03,2022-03,2022,2022Q3,2022
4/1/2022 16:00,371,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-04,2022-04,2022,2022Q4,2022
5/1/2022 16:00,428,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-05,2022-05,2022,2022Q4,2022
6/1/2022 16:00,434,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-06,2022-06,2022,2022Q4,2022
7/1/2022 16:00,410,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-07,2022-07,2022,2023Q1,2023
8/1/2022 16:00,504,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-08,2022-08,2022,2023Q1,2023
9/1/2022 16:00,538,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-09,2022-09,2022,2023Q1,2023
10/1/2022 16:00,528,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-10,2022-10,2022,2023Q2,2023
11/1/2022 16:00,611,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-11,2022-11,2022,2023Q2,2023
12/1/2022 16:00,597,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2022-12,2022-12,2022,2023Q2,2023
1/1/2023 16:00,429,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-01,2023-01,2023,2023Q3,2023
2/1/2023 16:00,660,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-02,2023-02,2023,2023Q3,2023
3/1/2023 16:00,651,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-03,2023-03,2023,2023Q3,2023
4/1/2023 16:00,554,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-04,2023-04,2023,2023Q4,2023
5/1/2023 16:00,982,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-05,2023-05,2023,2023Q4,2023
6/1/2023 16:00,624,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-06,2023-06,2023,2023Q4,2023
7/1/2023 16:00,571,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-07,2023-07,2023,2024Q1,2024
8/1/2023 16:00,571,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-08,2023-08,2023,2024Q1,2024
9/1/2023 16:00,421,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-09,2023-09,2023,2024Q1,2024
10/1/2023 16:00,509,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-10,2023-10,2023,2024Q2,2024
11/1/2023 16:00,402,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-11,2023-11,2023,2024Q2,2024
12/1/2023 16:00,388,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,2023-12,2023-12,2023,2024Q2,2024
12/1/2021 16:00,182,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2021-12,2021,2022Q2,2022
1/1/2022 16:00,213,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-01,2022,2022Q3,2022
2/1/2022 16:00,308,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-02,2022,2022Q3,2022
3/1/2022 16:00,358,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-03,2022,2022Q3,2022
4/1/2022 16:00,371,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-04,2022,2022Q4,2022
5/1/2022 16:00,428,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-05,2022,2022Q4,2022
6/1/2022 16:00,434,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-06,2022,2022Q4,2022
7/1/2022 16:00,410,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-07,2022,2023Q1,2023
8/1/2022 16:00,504,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-08,2022,2023Q1,2023
9/1/2022 16:00,538,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-09,2022,2023Q1,2023
10/1/2022 16:00,528,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-10,2022,2023Q2,2023
11/1/2022 16:00,611,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-11,2022,2023Q2,2023
12/1/2022 16:00,597,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2022-12,2022,2023Q2,2023
1/1/2023 16:00,429,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2023-01,2023,2023Q3,2023
2/1/2023 16:00,660,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2023-02,2023,2023Q3,2023
3/1/2023 16:00,651,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2023-03,2023,2023Q3,2023
4/1/2023 16:00,554,Weekday,Fareless,US 20 Commuter (PM),Anonymous Ticket,,2023-04,2023,2023Q4,2023
12/1/2021 16:00,782,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2021-12,2021,2022Q2,2022
1/1/2022 16:00,824,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-01,2022,2022Q3,2022
2/1/2022 16:00,999,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-02,2022,2022Q3,2022
3/1/2022 16:00,1317,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-03,2022,2022Q3,2022
4/1/2022 16:00,1296,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-04,2022,2022Q4,2022
5/1/2022 16:00,1389,Weekday,Fareless,Heart-to-Hub Uniter,Anonymous Ticket,,2022-05,2022,2022Q4,2022
